id;entreprise;fax;ice
1;Pound c override;withdrawal plum Directeur;SQL Computers
2;Small matrix seamless;synthesize Home hybrid;hack mindshare Lorraine
3;Gorgeous Bedfordshire;back Frozen;b Harpe
4;b Tasty;Checking c;a
5;Dominique;Account;Cotton blue Tuna
6;Home Seine;deposit Electronics;initiatives Basse-Normandie open-source
7;Corse Executif Cotton;Assistant Avon pink;withdrawal
8;Shoes;Granite;back Irlande best-of-breed
9;monitoring Auvergne;directional content;Shoes
10;payment Loan;Producteur Bretagne;system
